No.,Provinsi,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022
I,SEMUA PROVINSI,13700.0,13800.0,13750.0,13800.0,13700.0,13600.0,13600.0,13750.0,14000.0,14150.0,14300.0,14400.0,14500.0,14500.0,14650.0,14850.0,15100.0,15300.0,15400.0,15750.0,16050.0,16650.0,18150.0,19400.0,20150.0,18800.0,20850.0,24400.0,24450.0,
II,ACEH,13600.0,14050.0,13800.0,13800.0,13800.0,13500.0,13450.0,13750.0,13750.0,14000.0,14100.0,14250.0,14400.0,14450.0,14550.0,14600.0,14850.0,15400.0,15250.0,15600.0,16150.0,16150.0,17300.0,18950.0,20250.0,20750.0,17950.0,20100.0,20900.0,
III,SUMATERA UTARA,12750.0,13050.0,12900.0,12900.0,12800.0,12700.0,12650.0,12900.0,13100.0,13350.0,13500.0,13650.0,14100.0,14250.0,14450.0,14650.0,14800.0,15150.0,15300.0,15700.0,16100.0,16150.0,18000.0,18700.0,19150.0,19700.0,19550.0,21200.0,21350.0,
IV,SUMATERA BARAT,13050.0,13550.0,13200.0,13000.0,13000.0,12600.0,12500.0,13000.0,13250.0,13800.0,14000.0,13900.0,13800.0,14100.0,13950.0,14450.0,14550.0,14900.0,14450.0,15700.0,16000.0,16000.0,17850.0,18600.0,19050.0,17300.0,15850.0,21800.0,21950.0,
V,RIAU,13050.0,13550.0,13400.0,13100.0,13200.0,12850.0,12850.0,13100.0,13400.0,13850.0,13900.0,13950.0,13950.0,14050.0,14100.0,14150.0,14150.0,14650.0,14450.0,14900.0,15950.0,16200.0,17050.0,18800.0,19150.0,19250.0,16700.0,22250.0,22150.0,
VI,KEPULAUAN RIAU,12450.0,12450.0,12600.0,12850.0,13600.0,12650.0,12600.0,12600.0,13050.0,13200.0,13200.0,13300.0,13200.0,13400.0,13400.0,13450.0,13950.0,14000.0,13850.0,14000.0,14000.0,14850.0,16700.0,18050.0,19400.0,15800.0,15900.0,21700.0,21350.0,
VII,JAMBI,12500.0,12750.0,12600.0,12450.0,12250.0,12050.0,12050.0,12400.0,12750.0,13150.0,13300.0,13500.0,13500.0,13600.0,13550.0,13650.0,14000.0,14200.0,14250.0,14950.0,15700.0,15700.0,16450.0,18150.0,18400.0,18700.0,18700.0,22550.0,22550.0,
VIII,BENGKULU,12250.0,12550.0,13300.0,13400.0,13400.0,13400.0,13300.0,12950.0,12950.0,12950.0,12950.0,13100.0,13100.0,13100.0,13350.0,13350.0,14400.0,14550.0,15050.0,14700.0,15350.0,15500.0,16850.0,17850.0,18900.0,19500.0,13850.0,19850.0,21550.0,
IX,SUMATERA SELATAN,13100.0,13400.0,13050.0,13000.0,12850.0,12850.0,12650.0,13100.0,13450.0,13550.0,13600.0,13750.0,13750.0,13750.0,13750.0,14250.0,14450.0,14550.0,14700.0,15350.0,15750.0,16000.0,17500.0,19600.0,19600.0,19600.0,16600.0,22900.0,23050.0,
X,KEPULAUAN BANGKA BELITUNG,12400.0,12700.0,12700.0,13300.0,13500.0,13200.0,13400.0,13150.0,13200.0,13300.0,13250.0,13450.0,13450.0,13450.0,13500.0,13600.0,14300.0,14150.0,14350.0,14350.0,14400.0,14650.0,17850.0,19850.0,19350.0,17150.0,15900.0,24650.0,23900.0,
XI,LAMPUNG,12600.0,12900.0,12850.0,13100.0,12800.0,12550.0,12500.0,12750.0,12900.0,13500.0,13600.0,13650.0,13800.0,13800.0,13750.0,14150.0,14350.0,14400.0,14550.0,15000.0,15450.0,15650.0,17250.0,18100.0,19250.0,18450.0,18300.0,20500.0,21250.0,
XII,BANTEN,12850.0,13300.0,13050.0,12600.0,12550.0,12700.0,12250.0,12800.0,13150.0,13400.0,13500.0,14200.0,14200.0,14250.0,14250.0,14650.0,14650.0,15100.0,15000.0,15400.0,15900.0,16200.0,17850.0,19350.0,19600.0,19800.0,17000.0,22350.0,22300.0,
XIII,JAWA BARAT,12950.0,13500.0,13200.0,13150.0,13200.0,13050.0,12900.0,13250.0,13500.0,14050.0,14250.0,14300.0,14400.0,14350.0,14350.0,14650.0,14900.0,15350.0,15100.0,15750.0,16350.0,16500.0,18050.0,19100.0,19850.0,19850.0,17750.0,24500.0,23850.0,
XIV,DKI JAKARTA,13050.0,14150.0,13800.0,13700.0,13750.0,13700.0,13700.0,13850.0,14100.0,14850.0,14800.0,14950.0,14950.0,14950.0,14950.0,15550.0,15400.0,16050.0,15850.0,16450.0,16650.0,17100.0,18300.0,20100.0,20650.0,20300.0,19000.0,22150.0,23900.0,
XV,JAWA TENGAH,12600.0,12850.0,12750.0,12600.0,12600.0,12450.0,12450.0,12700.0,12850.0,13450.0,13500.0,13650.0,13750.0,13800.0,13800.0,14050.0,14300.0,14650.0,14550.0,15000.0,15300.0,15550.0,17100.0,18500.0,19200.0,18600.0,17450.0,23250.0,22350.0,
XVI,DI YOGYAKARTA,12150.0,12500.0,12400.0,12400.0,12600.0,12500.0,12400.0,12650.0,12750.0,13550.0,13750.0,13750.0,14150.0,14200.0,14100.0,14250.0,14400.0,15100.0,14900.0,15150.0,15500.0,15800.0,17600.0,18150.0,18600.0,18150.0,17250.0,19850.0,21100.0,
XVII,JAWA TIMUR,12600.0,12850.0,12650.0,12600.0,12550.0,12900.0,12450.0,12850.0,13100.0,13400.0,13550.0,13650.0,13750.0,13500.0,13700.0,14000.0,14450.0,14700.0,14500.0,15050.0,15250.0,15500.0,17550.0,18550.0,19450.0,18650.0,16750.0,23450.0,22650.0,
XVIII,BALI,13500.0,13900.0,13850.0,13900.0,13750.0,13550.0,13550.0,13750.0,13750.0,13800.0,14000.0,14200.0,14100.0,14150.0,14250.0,14500.0,14800.0,15100.0,15350.0,15450.0,15500.0,15750.0,16700.0,19050.0,19800.0,18500.0,18150.0,20850.0,21500.0,
XIX,NUSA TENGGARA BARAT,13750.0,14500.0,14300.0,14250.0,14350.0,14150.0,14350.0,14300.0,14250.0,14300.0,14800.0,14900.0,14800.0,14800.0,14800.0,14800.0,14900.0,15000.0,15200.0,15400.0,15600.0,15850.0,16750.0,17900.0,19300.0,19500.0,19000.0,24150.0,24550.0,
XX,NUSA TENGGARA TIMUR,15300.0,15200.0,15400.0,15400.0,15400.0,15150.0,15100.0,14950.0,14900.0,14900.0,15350.0,15500.0,15500.0,15250.0,15400.0,15800.0,16150.0,16600.0,16850.0,16950.0,17100.0,17850.0,18100.0,19200.0,20100.0,19450.0,20500.0,23350.0,26600.0,
XXI,KALIMANTAN BARAT,12800.0,13450.0,13150.0,12950.0,12700.0,12550.0,12600.0,12850.0,13200.0,13650.0,13750.0,13950.0,14300.0,14350.0,14350.0,14550.0,14600.0,14850.0,15000.0,15350.0,15700.0,15800.0,16800.0,17900.0,20350.0,19700.0,17350.0,23900.0,22650.0,
XXII,KALIMANTAN SELATAN,12700.0,13450.0,13500.0,13100.0,13050.0,13000.0,13000.0,12900.0,13250.0,13750.0,13850.0,14300.0,14350.0,14350.0,14400.0,14550.0,14800.0,14950.0,15400.0,15500.0,15650.0,16000.0,16700.0,18400.0,19750.0,20200.0,18800.0,22600.0,23300.0,
XXIII,KALIMANTAN TENGAH,13950.0,14500.0,14050.0,13950.0,13900.0,13950.0,13850.0,13750.0,14100.0,14150.0,14350.0,14550.0,14650.0,14650.0,14850.0,15050.0,15100.0,15400.0,15450.0,15650.0,15650.0,15950.0,16500.0,18950.0,19400.0,19350.0,18750.0,24700.0,25050.0,
XXIV,KALIMANTAN TIMUR,14500.0,15050.0,14650.0,14250.0,14200.0,14400.0,14100.0,14200.0,14250.0,14600.0,14950.0,14900.0,15150.0,15150.0,15200.0,15000.0,15050.0,15100.0,15250.0,15400.0,15550.0,15500.0,16450.0,18600.0,20050.0,18400.0,18800.0,24550.0,24800.0,
XXV,KALIMANTAN UTARA,13650.0,13750.0,14250.0,14800.0,14800.0,14800.0,14950.0,14650.0,14850.0,14900.0,14850.0,15000.0,14900.0,14700.0,14750.0,14800.0,14850.0,15250.0,15600.0,15700.0,15750.0,15900.0,16450.0,18700.0,20750.0,20250.0,19100.0,20750.0,24350.0,
XXVI,GORONTALO,15950.0,15600.0,14950.0,15100.0,15100.0,15050.0,15350.0,16000.0,16150.0,16600.0,17500.0,17450.0,17300.0,17300.0,17350.0,17750.0,17650.0,18150.0,17500.0,17750.0,18350.0,18300.0,23000.0,25300.0,25850.0,26200.0,25000.0,30550.0,31750.0,
XXVII,SULAWESI SELATAN,12550.0,13050.0,13000.0,13100.0,12950.0,12900.0,12950.0,13100.0,13200.0,13300.0,13300.0,13400.0,13400.0,13350.0,13650.0,13750.0,14100.0,14250.0,14300.0,14400.0,14800.0,15850.0,16650.0,17550.0,19950.0,18350.0,17800.0,20300.0,22050.0,
XXVIII,SULAWESI TENGGARA,14000.0,14500.0,14450.0,14450.0,14500.0,14400.0,14500.0,14550.0,14450.0,14600.0,14550.0,14450.0,14400.0,14500.0,14500.0,14900.0,15200.0,15250.0,15850.0,16050.0,16100.0,16200.0,16900.0,17900.0,19750.0,19750.0,19100.0,45650.0,38600.0,
XXIX,SULAWESI TENGAH,14100.0,14100.0,14200.0,14250.0,14250.0,14350.0,14000.0,14200.0,14350.0,14700.0,14700.0,14700.0,14700.0,14950.0,14950.0,14950.0,15000.0,15000.0,15150.0,15150.0,15600.0,16300.0,17550.0,19500.0,20550.0,18050.0,17400.0,24850.0,28000.0,
XXX,SULAWESI UTARA,14950.0,14500.0,14350.0,14200.0,14250.0,14150.0,14150.0,14250.0,14250.0,14800.0,14800.0,14900.0,14900.0,14900.0,14900.0,14900.0,15450.0,15950.0,15900.0,16300.0,16950.0,17050.0,17100.0,17650.0,18600.0,17500.0,17200.0,19050.0,21900.0,
XXXI,SULAWESI BARAT,13300.0,13550.0,13550.0,13550.0,13400.0,13450.0,13450.0,13350.0,13350.0,13600.0,13650.0,13650.0,13850.0,13850.0,13850.0,14100.0,14750.0,14750.0,15100.0,15400.0,15450.0,15450.0,16950.0,17600.0,19050.0,20150.0,18100.0,26450.0,25150.0,
XXXII,MALUKU,15200.0,15250.0,15350.0,15700.0,15850.0,15900.0,15450.0,15450.0,15600.0,15550.0,15550.0,15450.0,15700.0,15700.0,15750.0,15950.0,16350.0,16450.0,16800.0,16800.0,16800.0,16800.0,17500.0,19700.0,20800.0,21900.0,21500.0,25850.0,28400.0,
XXXIII,MALUKU UTARA,14850.0,14950.0,14950.0,16250.0,16250.0,16250.0,16250.0,15250.0,15750.0,15850.0,15600.0,15150.0,15650.0,15650.0,16100.0,16000.0,16000.0,16000.0,16450.0,16450.0,16450.0,16450.0,16450.0,16450.0,23350.0,23350.0,23000.0,26850.0,28650.0,
XXXIV,PAPUA,14750.0,14800.0,14950.0,14800.0,14250.0,14400.0,14900.0,14950.0,15000.0,15000.0,15100.0,15200.0,15700.0,15450.0,15600.0,15700.0,15750.0,14350.0,16400.0,16500.0,16400.0,16350.0,16800.0,18950.0,20150.0,20550.0,20200.0,26150.0,22500.0,
XXXV,PAPUA BARAT,15250.0,15700.0,25600.0,16300.0,16300.0,16300.0,15550.0,15350.0,15350.0,15350.0,15350.0,15450.0,15450.0,16400.0,16400.0,16400.0,16500.0,16750.0,16900.0,17150.0,17150.0,17500.0,18550.0,20700.0,22150.0,22350.0,21350.0,30650.0,32400.0,
